Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.340000000000000000e+02,2.146023884415626526e-02,3.258538898080587387e-03,4.051081836223602295e-03,2.568016946315765381e-02,1.407350748777389526e-01,3.400663658976554871e-02
1.350000000000000000e+02,2.151120640337467194e-02,3.263068385422229767e-03,3.999081905931234360e-03,2.571617998182773590e-02,1.418946087360382080e-01,3.388034179806709290e-02
1.360000000000000000e+02,2.156315371394157410e-02,3.268255153670907021e-03,3.948900382965803146e-03,2.575288154184818268e-02,1.430966556072235107e-01,3.376801311969757080e-02
1.370000000000000000e+02,2.161628194153308868e-02,3.274064278230071068e-03,3.900994779542088509e-03,2.579015865921974182e-02,1.443393379449844360e-01,3.367090597748756409e-02
1.380000000000000000e+02,2.167010493576526642e-02,3.280470380559563637e-03,3.855135757476091385e-03,2.582808583974838257e-02,1.456221342086791992e-01,3.358964249491691589e-02
1.390000000000000000e+02,2.172452956438064575e-02,3.287563798949122429e-03,3.812016220763325691e-03,2.586660906672477722e-02,1.469432413578033447e-01,3.352577239274978638e-02
1.400000000000000000e+02,2.177944406867027283e-02,3.295262111350893974e-03,3.771305084228515625e-03,2.590579539537429810e-02,1.483013927936553955e-01,3.347992151975631714e-02
1.410000000000000000e+02,2.183484099805355072e-02,3.303542034700512886e-03,3.733878256753087044e-03,2.594562992453575134e-02,1.496956348419189453e-01,3.345360606908798218e-02
1.420000000000000000e+02,2.189064398407936096e-02,3.312355373054742813e-03,3.699771128594875336e-03,2.598609216511249542e-02,1.511245965957641602e-01,3.344745188951492310e-02
1.430000000000000000e+02,2.194702066481113434e-02,3.321812022477388382e-03,3.670437261462211609e-03,2.602717280387878418e-02,1.525869816541671753e-01,3.346244618296623230e-02
1.440000000000000000e+02,2.200383692979812622e-02,3.331790445372462273e-03,3.645589808002114296e-03,2.606887184083461761e-02,1.540813148021697998e-01,3.349933400750160217e-02
1.450000000000000000e+02,2.206133492290973663e-02,3.342408686876296997e-03,3.624457167461514473e-03,2.611118555068969727e-02,1.556076109409332275e-01,3.355906903743743896e-02
1.460000000000000000e+02,2.211943268775939941e-02,3.353708656504750252e-03,3.606930607929825783e-03,2.615417353808879852e-02,1.571637839078903198e-01,3.364229947328567505e-02
1.470000000000000000e+02,2.217791974544525146e-02,3.365696640685200691e-03,3.592515829950571060e-03,2.619774267077445984e-02,1.587491035461425781e-01,3.374981880187988281e-02
1.480000000000000000e+02,2.223688364028930664e-02,3.378475084900856018e-03,3.581291297450661659e-03,2.624194696545600891e-02,1.603627800941467285e-01,3.388207033276557922e-02
1.490000000000000000e+02,2.229617349803447723e-02,3.391779027879238129e-03,3.572852816432714462e-03,2.628677524626255035e-02,1.620032042264938354e-01,3.403957560658454895e-02
1.500000000000000000e+02,2.235589548945426941e-02,3.405588213354349136e-03,3.567175241187214851e-03,2.633219212293624878e-02,1.636707037687301636e-01,3.422287479043006897e-02
