Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.240000000000000000e+02,1.035192981362342834e-02,1.750367344357073307e-03,2.102333353832364082e-03,1.090418919920921326e-02,7.077234238386154175e-02,1.740824989974498749e-02
1.250000000000000000e+02,1.031353045254945755e-02,1.762809697538614273e-03,2.076425589621067047e-03,1.089739799499511719e-02,7.157848775386810303e-02,1.729508861899375916e-02
1.260000000000000000e+02,1.027471572160720825e-02,1.775850309059023857e-03,2.050641691312193871e-03,1.089116930961608887e-02,7.241025567054748535e-02,1.718405447900295258e-02
1.270000000000000000e+02,1.023580040782690048e-02,1.789424102753400803e-03,2.025042427703738213e-03,1.088546495884656906e-02,7.326796650886535645e-02,1.707547344267368317e-02
1.280000000000000000e+02,1.019729953259229660e-02,1.803326420485973358e-03,1.999604515731334686e-03,1.088041625916957855e-02,7.415000349283218384e-02,1.696914061903953552e-02
1.290000000000000000e+02,1.015929039567708969e-02,1.817652373574674129e-03,1.974451122805476189e-03,1.087601110339164734e-02,7.505591958761215210e-02,1.686560176312923431e-02
1.300000000000000000e+02,1.012115553021430969e-02,1.832309179008007050e-03,1.949485391378402710e-03,1.087225973606109619e-02,7.598537206649780273e-02,1.676476374268531799e-02
1.310000000000000000e+02,1.008289586752653122e-02,1.847213949076831341e-03,1.924729556776583195e-03,1.086925156414508820e-02,7.693800330162048340e-02,1.666690595448017120e-02
1.320000000000000000e+02,1.004472281783819199e-02,1.862278906628489494e-03,1.900307834148406982e-03,1.086698658764362335e-02,7.791257649660110474e-02,1.657202281057834625e-02
1.330000000000000000e+02,1.000702381134033203e-02,1.877459581010043621e-03,1.876269001513719559e-03,1.086551230400800705e-02,7.890847325325012207e-02,1.648033037781715393e-02
1.340000000000000000e+02,9.970108047127723694e-03,1.892732572741806507e-03,1.852673012763261795e-03,1.086487807333469391e-02,7.992556691169738770e-02,1.639265939593315125e-02
1.350000000000000000e+02,9.933853521943092346e-03,1.908083679154515266e-03,1.829485292546451092e-03,1.086508482694625854e-02,8.096326142549514771e-02,1.630841381847858429e-02
1.360000000000000000e+02,9.898247197270393372e-03,1.923436881043016911e-03,1.806824817322194576e-03,1.086621452122926712e-02,8.202009648084640503e-02,1.622829027473926544e-02
1.370000000000000000e+02,9.862995706498622894e-03,1.938781118951737881e-03,1.784771331585943699e-03,1.086827460676431656e-02,8.309618383646011353e-02,1.615246944129467010e-02
1.380000000000000000e+02,9.828074835240840912e-03,1.954130828380584717e-03,1.763563137501478195e-03,1.087125390768051147e-02,8.419070392847061157e-02,1.608132757246494293e-02
