Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.090000000000000000e+02,3.351689875125885010e-02,7.665379904210567474e-03,1.670350134372711182e-02,3.660481795668601990e-02,2.996912300586700439e-01,1.064032614231109619e-01
1.100000000000000000e+02,3.364438936114311218e-02,7.719426881521940231e-03,1.689627207815647125e-02,3.668711334466934204e-02,3.034746050834655762e-01,1.082424893975257874e-01
1.110000000000000000e+02,3.377425670623779297e-02,7.773515302687883377e-03,1.707676611840724945e-02,3.676934912800788879e-02,3.072762489318847656e-01,1.100309491157531738e-01
1.120000000000000000e+02,3.390608727931976318e-02,7.827351801097393036e-03,1.724509708583354950e-02,3.685141354799270630e-02,3.110944330692291260e-01,1.117668598890304565e-01
1.130000000000000000e+02,3.403999283909797668e-02,7.880927063524723053e-03,1.740152202546596527e-02,3.693344071507453918e-02,3.149286806583404541e-01,1.134492531418800354e-01
1.140000000000000000e+02,3.417583182454109192e-02,7.934289984405040741e-03,1.754611730575561523e-02,3.701533377170562744e-02,3.187769353389739990e-01,1.150761619210243225e-01
1.150000000000000000e+02,3.431354463100433350e-02,7.987176068127155304e-03,1.767919212579727173e-02,3.709714114665985107e-02,3.226386308670043945e-01,1.166473031044006348e-01
1.160000000000000000e+02,3.445303440093994141e-02,8.039444684982299805e-03,1.780087500810623169e-02,3.717884793877601624e-02,3.265120387077331543e-01,1.181613504886627197e-01
1.170000000000000000e+02,3.459426760673522949e-02,8.091263473033905029e-03,1.791146211326122284e-02,3.726052492856979370e-02,3.303968012332916260e-01,1.196181923151016235e-01
1.180000000000000000e+02,3.473705053329467773e-02,8.142688311636447906e-03,1.801112666726112366e-02,3.734208643436431885e-02,3.342911005020141602e-01,1.210166290402412415e-01
1.190000000000000000e+02,3.488151729106903076e-02,8.193532936275005341e-03,1.810008101165294647e-02,3.742365166544914246e-02,3.381943404674530029e-01,1.223564818501472473e-01
1.200000000000000000e+02,3.502744808793067932e-02,8.243733085691928864e-03,1.817871630191802979e-02,3.750519454479217529e-02,3.421059548854827881e-01,1.236382871866226196e-01
1.210000000000000000e+02,3.517483174800872803e-02,8.293546736240386963e-03,1.824719458818435669e-02,3.758680447936058044e-02,3.460249602794647217e-01,1.248614564538002014e-01
1.220000000000000000e+02,3.532361239194869995e-02,8.342735469341278076e-03,1.830578036606311798e-02,3.766842186450958252e-02,3.499502837657928467e-01,1.260260790586471558e-01
1.230000000000000000e+02,3.547375649213790894e-02,8.391479030251502991e-03,1.835476607084274292e-02,3.775013983249664307e-02,3.538824021816253662e-01,1.271324008703231812e-01
1.240000000000000000e+02,3.562529012560844421e-02,8.439407683908939362e-03,1.839438825845718384e-02,3.783196955919265747e-02,3.578196167945861816e-01,1.281807124614715576e-01
1.250000000000000000e+02,3.577797859907150269e-02,8.486507460474967957e-03,1.842488534748554230e-02,3.791393339633941650e-02,3.617620170116424561e-01,1.291709393262863159e-01
1.260000000000000000e+02,3.593172132968902588e-02,8.533071726560592651e-03,1.844652742147445679e-02,3.799608349800109863e-02,3.657086193561553955e-01,1.301037073135375977e-01
1.270000000000000000e+02,3.608632832765579224e-02,8.578971959650516510e-03,1.845967210829257965e-02,3.807849809527397156e-02,3.696601390838623047e-01,1.309800297021865845e-01
1.280000000000000000e+02,3.624171763658523560e-02,8.624214679002761841e-03,1.846447400748729706e-02,3.816109150648117065e-02,3.736148476600646973e-01,1.317997574806213379e-01
1.290000000000000000e+02,3.639787435531616211e-02,8.668691851198673248e-03,1.846119016408920288e-02,3.824400156736373901e-02,3.775736093521118164e-01,1.325636059045791626e-01
1.300000000000000000e+02,3.655475378036499023e-02,8.712496608495712280e-03,1.845020800828933716e-02,3.832727670669555664e-02,3.815363347530364990e-01,1.332730948925018311e-01
1.310000000000000000e+02,3.671223670244216919e-02,8.755500428378582001e-03,1.843161880970001221e-02,3.841079398989677429e-02,3.855012357234954834e-01,1.339275836944580078e-01
1.320000000000000000e+02,3.687033802270889282e-02,8.797820657491683960e-03,1.840577833354473114e-02,3.849473223090171814e-02,3.894698619842529297e-01,1.345287561416625977e-01
1.330000000000000000e+02,3.702902421355247498e-02,8.839382790029048920e-03,1.837283000349998474e-02,3.857909142971038818e-02,3.934412598609924316e-01,1.350766271352767944e-01
1.340000000000000000e+02,3.718817979097366333e-02,8.880239911377429962e-03,1.833317242562770844e-02,3.866385668516159058e-02,3.974157869815826416e-01,1.355731040239334106e-01
1.350000000000000000e+02,3.734778612852096558e-02,8.920403197407722473e-03,1.828687824308872223e-02,3.874904289841651917e-02,4.013928174972534180e-01,1.360178738832473755e-01
1.360000000000000000e+02,3.750781342387199402e-02,8.959866128861904144e-03,1.823427341878414154e-02,3.883473947644233704e-02,4.053726792335510254e-01,1.364123523235321045e-01
1.370000000000000000e+02,3.766825422644615173e-02,8.998691104352474213e-03,1.817557588219642639e-02,3.892091289162635803e-02,4.093551337718963623e-01,1.367573887109756470e-01
1.380000000000000000e+02,3.782895952463150024e-02,9.036875329911708832e-03,1.811097562313079834e-02,3.900759667158126831e-02,4.133408963680267334e-01,1.370537430047988892e-01
1.390000000000000000e+02,3.798992931842803955e-02,9.074420668184757233e-03,1.804073899984359741e-02,3.909482061862945557e-02,4.173297584056854248e-01,1.373026520013809204e-01
1.400000000000000000e+02,3.815112262964248657e-02,9.111315943300724030e-03,1.796500943601131439e-02,3.918258100748062134e-02,4.213206171989440918e-01,1.375043094158172607e-01
1.410000000000000000e+02,3.831251710653305054e-02,9.147633798420429230e-03,1.788409985601902008e-02,3.927094861865043640e-02,4.253157079219818115e-01,1.376606225967407227e-01
1.420000000000000000e+02,3.847410902380943298e-02,9.183382615447044373e-03,1.779812201857566833e-02,3.935986384749412537e-02,4.293136596679687500e-01,1.377719044685363770e-01
1.430000000000000000e+02,3.863588720560073853e-02,9.218455292284488678e-03,1.770724728703498840e-02,3.944938629865646362e-02,4.333149194717407227e-01,1.378386616706848145e-01
1.440000000000000000e+02,3.879764303565025330e-02,9.253012947738170624e-03,1.761177740991115570e-02,3.953946754336357117e-02,4.373191595077514648e-01,1.378629505634307861e-01
1.450000000000000000e+02,3.895941749215126038e-02,9.287007153034210205e-03,1.751185581088066101e-02,3.963017463684082031e-02,4.413272440433502197e-01,1.378451287746429443e-01
1.460000000000000000e+02,3.912118077278137207e-02,9.320423938333988190e-03,1.740760728716850281e-02,3.972151130437850952e-02,4.453392028808593750e-01,1.377858519554138184e-01
1.470000000000000000e+02,3.928288444876670837e-02,9.353355504572391510e-03,1.729926466941833496e-02,3.981348499655723572e-02,4.493551254272460938e-01,1.376864910125732422e-01
1.480000000000000000e+02,3.944452479481697083e-02,9.385857731103897095e-03,1.718701235949993134e-02,3.990608826279640198e-02,4.533750414848327637e-01,1.375481039285659790e-01
1.490000000000000000e+02,3.960597887635231018e-02,9.417952969670295715e-03,1.707095652818679810e-02,3.999926149845123291e-02,4.573987126350402832e-01,1.373711526393890381e-01
1.500000000000000000e+02,3.976736962795257568e-02,9.449653327465057373e-03,1.695129461586475372e-02,4.009314998984336853e-02,4.614276885986328125e-01,1.371569186449050903e-01
1.510000000000000000e+02,3.992855176329612732e-02,9.480903856456279755e-03,1.682817004621028900e-02,4.018759727478027344e-02,4.654603004455566406e-01,1.369062662124633789e-01
1.520000000000000000e+02,4.008962959051132202e-02,9.511809796094894409e-03,1.670178771018981934e-02,4.028275609016418457e-02,4.694987237453460693e-01,1.366204172372817993e-01
1.530000000000000000e+02,4.025043919682502747e-02,9.542270563542842865e-03,1.657222025096416473e-02,4.037850350141525269e-02,4.735417366027832031e-01,1.362997740507125854e-01
1.540000000000000000e+02,4.041104018688201904e-02,9.572309441864490509e-03,1.643962785601615906e-02,4.047491773962974548e-02,4.775896966457366943e-01,1.359454691410064697e-01
1.550000000000000000e+02,4.057138785719871521e-02,9.601963683962821960e-03,1.630416512489318848e-02,4.057189077138900757e-02,4.816429018974304199e-01,1.355585008859634399e-01
1.560000000000000000e+02,4.073145985603332520e-02,9.631191380321979523e-03,1.616599038243293762e-02,4.066949337720870972e-02,4.857015013694763184e-01,1.351402401924133301e-01
1.570000000000000000e+02,4.089125245809555054e-02,9.660085663199424744e-03,1.602518931031227112e-02,4.076773300766944885e-02,4.897659718990325928e-01,1.346909552812576294e-01
1.580000000000000000e+02,4.105074331164360046e-02,9.688585996627807617e-03,1.588188111782073975e-02,4.086660221219062805e-02,4.938362538814544678e-01,1.342116147279739380e-01
1.590000000000000000e+02,4.120990633964538574e-02,9.716723114252090454e-03,1.573622971773147583e-02,4.096603393554687500e-02,4.979126155376434326e-01,1.337034404277801514e-01
1.600000000000000000e+02,4.136880487203598022e-02,9.744482114911079407e-03,1.558833755552768707e-02,4.106609150767326355e-02,5.019951462745666504e-01,1.331674456596374512e-01
1.610000000000000000e+02,4.152731969952583313e-02,9.771916083991527557e-03,1.543827541172504425e-02,4.116671532392501831e-02,5.060839056968688965e-01,1.326039731502532959e-01
1.620000000000000000e+02,4.168551042675971985e-02,9.798986837267875671e-03,1.528623048216104507e-02,4.126797989010810852e-02,5.101802945137023926e-01,1.320147663354873657e-01
1.630000000000000000e+02,4.184318706393241882e-02,9.825716726481914520e-03,1.513219159096479416e-02,4.136971011757850647e-02,5.142818093299865723e-01,1.313994973897933960e-01
1.640000000000000000e+02,4.200060293078422546e-02,9.852170944213867188e-03,1.497638877481222153e-02,4.147207364439964294e-02,5.183912515640258789e-01,1.307603865861892700e-01
