benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,l1_absolute_u,l2_relative_u,l1_absolute_v,l2_relative_v,l1_absolute_p,l2_relative_p,model
kovasznay,LPA,LPA_P6_N30,3,10,1,1235,6.0,30.0,,,0.01,200,40000,200,5000,313,,8.121693099383265e-05,19.355592250823975,390.6302101612091,5465,arm64,0.0015004611785598677,0.0016213971380878418,0.0005587978530185438,0.006950361632861492,0.0008574317149700281,0.003056263232778394,LPA
kovasznay,LPA,LPA_P6_N30,3,10,2,1236,6.0,30.0,,,0.01,200,40000,200,5000,313,,0.00012424281158018857,18.769222021102905,232.20916175842285,3259,arm64,0.0018307286826602927,0.0019431468691638572,0.0007520090962457603,0.009936553515648488,0.0012605520459710166,0.00460481001167404,LPA
kovasznay,LPA,LPA_P6_N30,3,10,3,1237,6.0,30.0,,,0.01,200,40000,200,5000,313,,8.432185859419405e-05,19.3038432598114,437.9708480834961,6578,arm64,0.0009140830368928864,0.0009785757420307502,0.0006371395731479048,0.008780879670714737,0.00048760213973255404,0.0019356373655314615,LPA
kovasznay,LPA,LPA_P6_N30,3,10,4,1238,6.0,30.0,,,0.01,200,40000,200,5000,313,,0.0003501996397972107,16.847116947174072,227.63161778450012,3486,arm64,0.002720922596609196,0.002773161170111,0.0014588021745046238,0.01780525282275671,0.0017671822668539456,0.006595915808093224,LPA
kovasznay,R,R,3,10,0,1234,,,,,0.01,200,40000,200,5000,283,,0.0002335783647140488,9.00300908088684,180.00649690628052,4943,arm64,0.0019527986674858378,0.0020208230101947436,0.0007425281924063424,0.00955025976721895,0.0024135709485793105,0.00800933818980088,R
kovasznay,R,R,3,10,1,1235,,,,,0.01,200,40000,200,5000,283,,9.818107355386019e-05,8.834661722183228,191.1171898841858,5311,arm64,0.0010070566675163522,0.0010835334092873254,0.0005813301439762848,0.007408024821875274,0.0005912874913650159,0.0020986026285703357,R
kovasznay,R,R,3,10,2,1236,,,,,0.01,200,40000,200,5000,283,,0.00022132319281809032,8.653863191604614,157.76470518112183,4415,arm64,0.0017968433200764473,0.0019111229963393766,0.0011815789371136822,0.014407747340838873,0.0019328507650942762,0.006492597017973307,R
kovasznay,R,R,3,10,3,1237,,,,,0.01,200,40000,200,5000,283,,0.0010788063518702984,8.65030312538147,139.62455320358276,4015,arm64,0.005860223279153105,0.006133508086358961,0.0028417537459060967,0.0344544330634632,0.006066389511618875,0.01963767468413888,R
kovasznay,R,R,3,10,4,1238,,,,,0.01,200,40000,200,5000,283,,0.00013687909813597798,8.696732759475708,162.69500970840454,5029,arm64,0.0014384896894385003,0.00150292345941155,0.0004881710988852228,0.0061027364472365404,0.001595133332689702,0.005406098279422902,R
kovasznay,FF,FF_s10,4,10,0,1234,,,10.0,3.0,0.01,200,40000,200,5000,433,423.0,3.377338409423828,11.462226867675781,9.209201097488403,196,arm64,0.6163912806274886,0.6336636243004654,0.08290217892762597,1.00000377505403,0.31624670049257375,1.0277210442087734,FF_s10
kovasznay,FF,FF_s10,4,10,1,1235,,,10.0,3.0,0.01,200,40000,200,5000,433,423.0,3.4883949756622314,9.775260210037231,7.222398042678833,166,arm64,0.654214617748989,0.672366002012824,0.08292188293647344,1.000076841217616,0.3370190599958375,1.080222735963465,FF_s10
kovasznay,FF,FF_s10,4,10,2,1236,,,10.0,3.0,0.01,200,40000,200,5000,433,423.0,3.3274669647216797,9.853920936584473,9.032814025878906,213,arm64,0.6521233457742726,0.6703279816705989,0.08297298403011022,1.0005850673765426,0.3242942494337004,1.0469452000237114,FF_s10
kovasznay,FF,FF_s10,4,10,3,1237,,,10.0,3.0,0.01,200,40000,200,5000,433,423.0,3.251296043395996,12.705602884292603,17.92663884162903,338,arm64,0.6208658561419221,0.6384329065719375,0.08304453110044349,1.0019448636506942,0.31716325162805414,1.029829568744397,FF_s10
kovasznay,FF,FF_s10,4,10,4,1238,,,10.0,3.0,0.01,200,40000,200,5000,433,423.0,3.6216676235198975,10.087186813354492,6.641752004623413,155,arm64,0.6194059667465618,0.6369390468423667,0.08292232869837757,1.0000794981550576,0.3287022140855164,1.0580831087403426,FF_s10
kovasznay,FF,FF_s1,4,10,0,1234,,,1.0,3.0,0.01,200,40000,200,5000,433,423.0,2.080946445465088,11.803339004516602,491.6529698371887,10905,arm64,0.34935597260907764,0.34733732320817995,0.1042385080531618,1.2694043319829482,0.32223723966541307,1.0504166971465752,FF_s1
kovasznay,FF,FF_s1,4,10,1,1235,,,1.0,3.0,0.01,200,40000,200,5000,433,423.0,1.5386050939559937,11.519614219665527,517.6974349021912,11674,arm64,0.42597640468554954,0.43712374703725215,0.08468199880358214,1.0138554295363569,0.21809708391986346,0.6915255053818324,FF_s1
kovasznay,FF,FF_s1,4,10,2,1236,,,1.0,3.0,0.01,200,40000,200,5000,433,423.0,2.2767653465270996,9.988209009170532,428.0574839115143,8661,arm64,0.551751178846837,0.5679307104893945,0.07828251011556625,0.959186934528013,0.2673631612334137,0.8842717306752944,FF_s1
kovasznay,FF,FF_s1,4,10,3,1237,,,1.0,3.0,0.01,200,40000,200,5000,433,423.0,0.050392065197229385,12.62765622138977,561.5595002174377,11483,arm64,0.0170409882648583,0.018647370299550575,0.008142456503925553,0.10329410809798953,0.012772429188133915,0.046344611472184986,FF_s1
kovasznay,FF,FF_s1,4,10,4,1238,,,1.0,3.0,0.01,200,40000,200,5000,433,423.0,1.105956792831421,12.716715812683105,779.9235188961029,16457,arm64,0.331042669606401,0.356198949490075,0.0912189739635768,1.0884525543654036,0.20953838009169898,0.7293480320065185,FF_s1
kovasznay,FF,FF_s5,4,10,0,1234,,,5.0,3.0,0.01,200,40000,200,5000,433,423.0,3.3764235973358154,11.366688966751099,7.781519174575806,154,arm64,0.6163333964045199,0.6336394353685855,0.0829034233065075,0.9999952190570791,0.31631456158987975,1.0279056534704536,FF_s5
kovasznay,FF,FF_s5,4,10,1,1235,,,5.0,3.0,0.01,200,40000,200,5000,433,423.0,3.481376886367798,9.688690900802612,44.19379281997681,1070,arm64,0.6544759539621585,0.6725627070812591,0.08291679862227615,1.0000221659476474,0.33687222744843576,1.0798080548263485,FF_s5
kovasznay,FF,FF_s5,4,10,2,1236,,,5.0,3.0,0.01,200,40000,200,5000,433,423.0,3.3271632194519043,9.951227188110352,8.474169254302979,195,arm64,0.6521290201737877,0.6703333080554571,0.08296968383826192,1.0005403628177363,0.3242718388405186,1.0468809461819197,FF_s5
kovasznay,FF,FF_s5,4,10,3,1237,,,5.0,3.0,0.01,200,40000,200,5000,433,423.0,3.201780319213867,12.804837226867676,96.02026796340942,1896,arm64,0.6168767374044418,0.6323925755332627,0.08307325324350266,1.0030402685253985,0.31741809052788217,1.0291819731843788,FF_s5
kovasznay,FF,FF_s5,4,10,4,1238,,,5.0,3.0,0.01,200,40000,200,5000,433,423.0,3.6142938137054443,11.3142249584198,64.0698311328888,1541,arm64,0.6195110640369974,0.6369878486243944,0.0829214855083483,1.0002173268805952,0.3288811076108572,1.0585515130388632,FF_s5
kovasznay,LPA,LPA_P6_N30,4,10,0,1234,6.0,30.0,,,0.01,200,40000,200,5000,423,,0.00010605023271637037,19.73654317855835,428.9438281059265,5780,arm64,0.0011727111159323038,0.0012089106402063954,0.000683732979803664,0.008434057295049353,0.0007553605873601327,0.0027876490888917175,LPA
kovasznay,LPA,LPA_P6_N30,4,10,1,1235,6.0,30.0,,,0.01,200,40000,200,5000,423,,2.6474601327208802e-05,19.82338571548462,467.56382989883423,6567,arm64,0.0005499678873452476,0.0005677857436273705,0.0002686384976237041,0.003262666084417339,0.0004256746761660478,0.0015320641595002278,LPA
kovasznay,LPA,LPA_P6_N30,4,10,2,1236,6.0,30.0,,,0.01,200,40000,200,5000,423,,5.928643804509193e-05,17.013033151626587,380.94408917427063,5100,arm64,0.0008222547996078651,0.0008330497118020895,0.0006446168486302053,0.0077844143992899075,0.0007116060058314333,0.002517998313959359,LPA
kovasznay,LPA,LPA_P6_N30,4,10,3,1237,6.0,30.0,,,0.01,200,40000,200,5000,423,,0.0003958188171964139,20.279347896575928,310.25079107284546,3813,arm64,0.003046671875943274,0.003824120111485419,0.0015203364889832453,0.020103795396868938,0.0013579245191877624,0.004573629147834594,LPA
kovasznay,LPA,LPA_P6_N30,4,10,4,1238,6.0,30.0,,,0.01,200,40000,200,5000,423,,0.00010349946387577802,21.70834493637085,255.6038851737976,3577,arm64,0.001107683728378455,0.0011977346728417474,0.0005983475028324145,0.0073652414860045255,0.0007111517248156929,0.002614135420530507,LPA
kovasznay,R,R,4,10,0,1234,,,,,0.01,200,40000,200,5000,393,,5.3580683015752584e-05,10.380690813064575,206.85603713989258,4797,arm64,0.000985107876083115,0.0011317117443380553,0.0004348088190363919,0.005952131982212088,0.0006372498185143459,0.0021320853930477516,R
kovasznay,R,R,4,10,1,1235,,,,,0.01,200,40000,200,5000,393,,0.0001753648102749139,10.215898036956787,233.46126103401184,5883,arm64,0.0012877915068272214,0.0014547061558208643,0.0006905629851026917,0.008977698920692414,0.0014881915312700037,0.0051539446451362835,R
kovasznay,R,R,4,10,2,1236,,,,,0.01,200,40000,200,5000,393,,0.00011049387831008062,8.718838930130005,282.4302520751953,7229,arm64,0.0008842972327990571,0.0009080109473048165,0.0005900981630527775,0.0073565615459141595,0.0007926924271297601,0.0027463231699442004,R
kovasznay,R,R,4,10,3,1237,,,,,0.01,200,40000,200,5000,393,,7.752692908979952e-05,8.644941091537476,325.61201572418213,6960,arm64,0.0009908967133311977,0.0009954537050554963,0.0005501588039119923,0.007143838833768959,0.000641439637335573,0.0022322332697398625,R
kovasznay,R,R,4,10,4,1238,,,,,0.01,200,40000,200,5000,393,,9.124993812292814e-05,11.681926012039185,239.35670232772827,5786,arm64,0.0009282154027619418,0.0010039206857459613,0.0006478804803489058,0.008057317381079919,0.0008359386659936032,0.0028214855152666357,R
